season,celebrity_name,week,judge_total_raw,judge_count,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,is_week_scheduled,alive,last_alive_week,season_max_scheduled_week,is_eliminated_this_week,eliminated,is_elimination_week,is_non_elimination_week,judge_total_model
1,Evander Holyfield,1,18.0,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,True,1,3,6,0,,0,1,18.0
1,Joey McIntyre,1,20.0,3,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,True,1,5,6,0,,0,1,20.0
1,John O'Hurley,1,20.0,3,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,True,1,6,6,0,,0,1,20.0
1,Kelly Monaco,1,13.0,3,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,True,1,6,6,0,,0,1,13.0
1,Rachel Hunter,1,20.0,3,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,True,1,4,6,0,,0,1,20.0
1,Trista Sutter,1,18.0,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,True,1,2,6,0,,0,1,18.0
1,Evander Holyfield,2,14.0,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,True,1,3,6,0,Trista Sutter,1,0,14.0
1,Joey McIntyre,2,21.0,3,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,True,1,5,6,0,Trista Sutter,1,0,21.0
1,John O'Hurley,2,26.0,3,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,True,1,6,6,0,Trista Sutter,1,0,26.0
1,Kelly Monaco,2,17.0,3,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,True,1,6,6,0,Trista Sutter,1,0,17.0
1,Rachel Hunter,2,24.0,3,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,True,1,4,6,0,Trista Sutter,1,0,24.0
1,Trista Sutter,2,19.0,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,True,1,2,6,1,Trista Sutter,1,0,19.0
1,Evander Holyfield,3,13.0,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,True,1,3,6,1,Evander Holyfield,1,0,13.0
1,Joey McIntyre,3,22.0,3,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,True,1,5,6,0,Evander Holyfield,1,0,22.0
1,John O'Hurley,3,24.0,3,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,True,1,6,6,0,Evander Holyfield,1,0,24.0
1,Kelly Monaco,3,21.0,3,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,True,1,6,6,0,Evander Holyfield,1,0,21.0
1,Rachel Hunter,3,26.0,3,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,True,1,4,6,0,Evander Holyfield,1,0,26.0
1,Trista Sutter,3,0.0,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,True,0,2,6,0,Evander Holyfield,1,0,
1,Evander Holyfield,4,0.0,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,True,0,3,6,0,Rachel Hunter,1,0,
1,Joey McIntyre,4,20.0,3,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,True,1,5,6,0,Rachel Hunter,1,0,20.0
1,John O'Hurley,4,21.0,3,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,True,1,6,6,0,Rachel Hunter,1,0,21.0
1,Kelly Monaco,4,26.0,3,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,True,1,6,6,0,Rachel Hunter,1,0,26.0
1,Rachel Hunter,4,25.0,3,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,True,1,4,6,1,Rachel Hunter,1,0,25.0
1,Trista Sutter,4,0.0,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,True,0,2,6,0,Rachel Hunter,1,0,
1,Evander Holyfield,5,0.0,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,True,0,3,6,0,Joey McIntyre,1,0,
1,Joey McIntyre,5,22.5,3,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,True,1,5,6,1,Joey McIntyre,1,0,22.5
1,John O'Hurley,5,27.0,3,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,True,1,6,6,0,Joey McIntyre,1,0,27.0
1,Kelly Monaco,5,23.5,3,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,True,1,6,6,0,Joey McIntyre,1,0,23.5
1,Rachel Hunter,5,0.0,3,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,True,0,4,6,0,Joey McIntyre,1,0,
1,Trista Sutter,5,0.0,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,True,0,2,6,0,Joey McIntyre,1,0,
1,Evander Holyfield,6,0.0,3,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,True,0,3,6,0,,0,1,
1,Joey McIntyre,6,0.0,3,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,True,0,5,6,0,,0,1,
1,John O'Hurley,6,27.0,3,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,True,1,6,6,0,,0,1,27.0
1,Kelly Monaco,6,27.5,3,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,True,1,6,6,0,,0,1,27.5
1,Rachel Hunter,6,0.0,3,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,True,0,4,6,0,,0,1,
1,Trista Sutter,6,0.0,3,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,True,0,2,6,0,,0,1,
1,Evander Holyfield,7,,0,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,False,0,3,6,0,,0,0,
1,Joey McIntyre,7,,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,False,0,5,6,0,,0,0,
1,John O'Hurley,7,,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,False,0,6,6,0,,0,0,
1,Kelly Monaco,7,,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,False,0,6,6,0,,0,0,
1,Rachel Hunter,7,,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,False,0,4,6,0,,0,0,
1,Trista Sutter,7,,0,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,False,0,2,6,0,,0,0,
1,Evander Holyfield,8,,0,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,False,0,3,6,0,,0,0,
1,Joey McIntyre,8,,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,False,0,5,6,0,,0,0,
1,John O'Hurley,8,,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,False,0,6,6,0,,0,0,
1,Kelly Monaco,8,,0,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,False,0,6,6,0,,0,0,
1,Rachel Hunter,8,,0,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,False,0,4,6,0,,0,0,
1,Trista Sutter,8,,0,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,False,0,2,6,0,,0,0,
1,Evander Holyfield,9,,0,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,False,0,3,6,0,,0,0,
1,Joey McIntyre,9,,0,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,False,0,5,6,0,,0,0,
1,John O'Hurley,9,,0,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,False,0,6,6,0,,0,0,
