Season,Week,Contestant,Result,Est_Fan_Vote,Certainty_Std,Sample_Size,Mode
1,2,Evander Holyfield,Safe,0.02292111955610205,0.02337150786575489,686,Hard
1,2,Joey McIntyre,Safe,0.052125632961178045,0.04219004523438205,686,Hard
1,2,John O'Hurley,Safe,0.6667868804154959,0.09035253229710373,686,Hard
1,2,Kelly Monaco,Safe,0.00975514361600624,0.01617269109194891,686,Hard
1,2,Rachel Hunter,Safe,0.24605337714743988,0.08158191078365225,686,Hard
1,2,Trista Sutter,Eliminated,0.0023578463037783504,0.004036804945421876,686,Hard
1,3,Evander Holyfield,Eliminated,0.0008064859048217404,0.005017575394382739,49064,Hard
1,3,Joey McIntyre,Safe,0.09827993398770508,0.07559890870725554,49064,Hard
1,3,John O'Hurley,Safe,0.2420108185281528,0.10812206890963795,49064,Hard
1,3,Kelly Monaco,Safe,0.06346066736995909,0.06179279216199004,49064,Hard
1,3,Rachel Hunter,Safe,0.5954420942093622,0.12401942249454179,49064,Hard
1,4,Joey McIntyre,Safe,0.00933251919312529,0.03485911468715741,179,Soft
1,4,John O'Hurley,Safe,0.18644240569615836,0.07046873122530915,179,Soft
1,4,Kelly Monaco,Safe,0.6692782530560095,0.1137915799653382,179,Soft
1,4,Rachel Hunter,Eliminated,0.13494682205470668,0.05519745591180472,179,Soft
1,5,Joey McIntyre,Eliminated,0.0025963255146860794,0.007606171643683412,37661,Hard
1,5,John O'Hurley,Safe,0.9653685239890247,0.04341101842135524,37661,Hard
1,5,Kelly Monaco,Safe,0.03203515049627375,0.04078443455402878,37661,Hard
2,1,Drew Lachey,Safe,0.32790499160836056,0.08427999960788247,18755,Hard
2,1,George Hamilton,Safe,0.015345661517425925,0.02187702180163191,18755,Hard
2,1,Giselle Fernandez,Safe,0.19802131880352855,0.07136258904664602,18755,Hard
2,1,Jerry Rice,Safe,0.07123986039612273,0.045901400974824515,18755,Hard
2,1,Kenny Mayne,Eliminated,2.6987733899493875e-05,0.00034119752749725904,18755,Hard
2,1,Lisa Rinna,Safe,0.025970000127587996,0.028601818891354124,18755,Hard
2,1,Master P,Safe,0.001773477752801492,0.007295488316313916,18755,Hard
2,1,Stacy Keibler,Safe,0.11891997964398435,0.05823499918612387,18755,Hard
2,1,Tatum O'Neal,Safe,0.1975425906767641,0.07177337165028351,18755,Hard
2,1,Tia Carrere,Safe,0.043255131739524694,0.03640335913134476,18755,Hard
2,2,Drew Lachey,Safe,0.23370609421249117,0.06117741421783814,18648,Hard
2,2,George Hamilton,Safe,0.019191024125041506,0.019870093286179853,18648,Hard
2,2,Giselle Fernandez,Safe,0.05198327229321083,0.03240809454919155,18648,Hard
2,2,Jerry Rice,Safe,0.03140881238783525,0.024917511735440045,18648,Hard
2,2,Lisa Rinna,Safe,0.0071055435638849055,0.012191926310835858,18648,Hard
2,2,Master P,Safe,0.002295061749237339,0.006798907311264719,18648,Hard
2,2,Stacy Keibler,Safe,0.6350710440723519,0.06967304410501488,18648,Hard
2,2,Tatum O'Neal,Eliminated,7.477356444471011e-05,0.00048554057047014976,18648,Hard
2,2,Tia Carrere,Safe,0.019164374031503555,0.019986974822838018,18648,Hard
2,3,Drew Lachey,Safe,0.3042221279253871,0.09377964793961839,368,Soft
2,3,George Hamilton,Safe,0.030199448544649756,0.026023598686651446,368,Soft
2,3,Giselle Fernandez,Eliminated,0.007900599560162539,0.00903659961121283,368,Soft
2,3,Jerry Rice,Safe,0.08086280931841862,0.04688580839384845,368,Soft
2,3,Lisa Rinna,Safe,0.07768904307456949,0.05712728522739819,368,Soft
2,3,Master P,Safe,0.005197289399738013,0.025444468311119815,368,Soft
2,3,Stacy Keibler,Safe,0.3141527347173692,0.08979895944361053,368,Soft
2,3,Tia Carrere,Safe,0.1797759474597054,0.08229491579341053,368,Soft
2,4,Drew Lachey,Safe,0.35330812223282543,0.1159672208252156,49870,Hard
2,4,George Hamilton,Safe,0.03791520284633678,0.04615807348518089,49870,Hard
2,4,Jerry Rice,Safe,0.09899196937705348,0.07222737225530995,49870,Hard
2,4,Lisa Rinna,Safe,0.18710466643470008,0.09484880731358372,49870,Hard
2,4,Master P,Eliminated,0.0004088521981131473,0.0034967434570835213,49870,Hard
2,4,Stacy Keibler,Safe,0.18588904960276226,0.094208049552709,49870,Hard
2,4,Tia Carrere,Safe,0.1363821373082066,0.0831286038974362,49870,Hard
