season,week,celebrity_name,Judge_Score,Est_Fan_Vote,Place_Rank,Place_Pct,Placement_Diff,is_eliminated_this_week
1,2,John O'Hurley,26.0,0.6667868804154959,1,1,0,0
1,2,Rachel Hunter,24.0,0.2460533771474398,2,2,0,0
1,2,Joey McIntyre,21.0,0.052125632961178,3,3,0,0
1,2,Trista Sutter,19.0,0.0023578463037783,6,4,2,1
1,2,Kelly Monaco,17.0,0.0097551436160062,5,5,0,0
1,2,Evander Holyfield,14.0,0.022921119556102,4,6,-2,0
1,3,Rachel Hunter,26.0,0.5954420942093622,1,1,0,0
1,3,John O'Hurley,24.0,0.2420108185281528,2,2,0,0
1,3,Joey McIntyre,22.0,0.098279933987705,3,3,0,0
1,3,Kelly Monaco,21.0,0.063460667369959,4,4,0,0
1,3,Evander Holyfield,13.0,0.0008064859048217,5,5,0,1
1,4,Kelly Monaco,26.0,0.6692782530560095,1,1,0,0
1,4,John O'Hurley,21.0,0.1864424056961583,2,2,0,0
1,4,Rachel Hunter,25.0,0.1349468220547066,3,3,0,1
1,4,Joey McIntyre,20.0,0.0093325191931252,4,4,0,0
1,5,John O'Hurley,27.0,0.9653685239890248,1,1,0,0
1,5,Kelly Monaco,23.5,0.0320351504962737,2,2,0,0
1,5,Joey McIntyre,22.5,0.002596325514686,3,3,0,1
2,1,Drew Lachey,24.0,0.3279049916083605,1,1,0,0
2,1,Giselle Fernandez,23.0,0.1980213188035285,2,2,0,0
2,1,Tatum O'Neal,23.0,0.1975425906767641,3,3,0,0
2,1,Stacy Keibler,22.0,0.1189199796439843,4,4,0,0
2,1,Jerry Rice,21.0,0.0712398603961227,5,5,0,0
2,1,Tia Carrere,20.0,0.0432551317395246,6,6,0,0
2,1,Lisa Rinna,19.0,0.0259700001275879,7,7,0,0
2,1,George Hamilton,18.0,0.0153456615174259,8,8,0,0
2,1,Kenny Mayne,13.0,2.6987733899493875e-05,10,9,1,1
2,1,Master P,12.0,0.0017734777528014,9,10,-1,0
2,2,Stacy Keibler,29.0,0.6350710440723519,1,1,0,0
2,2,Drew Lachey,27.0,0.2337060942124911,2,2,0,0
2,2,Giselle Fernandez,24.0,0.0519832722932108,3,3,0,0
2,2,Jerry Rice,23.0,0.0314088123878352,4,4,0,0
2,2,George Hamilton,22.0,0.0191910241250415,5,5,0,0
2,2,Tia Carrere,22.0,0.0191643740315035,6,6,0,0
2,2,Lisa Rinna,20.0,0.0071055435638849,7,7,0,0
2,2,Tatum O'Neal,17.0,7.477356444471011e-05,9,8,1,1
2,2,Master P,16.0,0.0022950617492373,8,9,-1,0
2,3,Stacy Keibler,27.0,0.3141527347173692,1,1,0,0
2,3,Drew Lachey,27.0,0.3042221279253871,2,2,0,0
2,3,Tia Carrere,26.0,0.1797759474597054,3,3,0,0
2,3,Lisa Rinna,25.0,0.0776890430745694,4,4,0,0
2,3,Jerry Rice,19.0,0.0808628093184186,5,5,0,0
2,3,George Hamilton,22.0,0.0301994485446497,6,6,0,0
2,3,Giselle Fernandez,22.0,0.0079005995601625,7,7,0,1
2,3,Master P,14.0,0.005197289399738,8,8,0,0
2,4,Drew Lachey,28.0,0.3533081222328254,1,1,0,0
2,4,Lisa Rinna,26.0,0.1871046664347,2,2,0,0
2,4,Stacy Keibler,26.0,0.1858890496027622,3,3,0,0
2,4,Tia Carrere,25.0,0.1363821373082066,4,4,0,0
2,4,Jerry Rice,24.0,0.0989919693770534,5,5,0,0
2,4,George Hamilton,21.0,0.0379152028463367,6,6,0,0
2,4,Master P,8.0,0.0004088521981131,7,7,0,1
2,5,Stacy Keibler,30.0,0.8705310346756944,1,1,0,0
2,5,Drew Lachey,27.0,0.0922823191158184,2,2,0,0
2,5,Lisa Rinna,25.0,0.0209987287505733,3,3,0,0
2,5,George Hamilton,24.0,0.0102966575399066,4,4,0,0
2,5,Jerry Rice,23.0,0.005097156046106,5,5,0,0
2,5,Tia Carrere,22.0,0.0007941038719005,6,6,0,1
2,6,Stacy Keibler,30.0,0.4608631996252743,1,1,0,0
2,6,Drew Lachey,30.0,0.4601663311703768,2,2,0,0
2,6,Lisa Rinna,27.0,0.0686824061679432,3,3,0,0
2,6,Jerry Rice,23.0,0.0097980975632712,4,4,0,0
2,6,George Hamilton,23.0,0.0004899654731349,5,5,0,1
2,7,Drew Lachey,27.5,0.412340367814652,1,1,0,0
2,7,Stacy Keibler,27.5,0.3812149744657698,2,2,0,0
2,7,Jerry Rice,20.5,0.132733269023819,3,3,0,0
